UF_RESIDENCIA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,64.36993865030675,65.55611150822016,66.28513824884793,67.09298345693098,66.94266747133373,66.86089238845145,67.09238451935082,68.01813333333334,68.07837980010521,68.7428722280887
AL,65.94776684330053,66.50242718446601,67.84189031505251,68.19857594936708,68.94018817204301,68.48256880733945,68.95862960568843,69.94533139816158,67.7397504456328,68.12080536912751
AM,64.28972953862471,64.3794818413139,65.51374589885734,66.11413748378729,64.82790755467197,66.82501979414093,68.35130111524164,67.71185039776836,66.32763026330407,68.60973327094057
AP,65.25818639798489,66.25864909390445,67.10892388451444,65.44601638123603,65.76117318435755,66.36750788643533,66.4141689373297,66.75970873786407,69.92976045473,68.08310502283105
BA,65.32420091324201,66.3445027587135,67.62419370844498,67.97812085622277,68.67934674367656,68.39727746669242,68.15711009174312,68.82503903200625,68.34520258513547,69.02390859722124
CE,65.38351088466882,67.33615500376223,68.39073699687557,68.84984203679613,68.37023160762942,68.83247835844823,69.05188866799205,68.9106893106893,68.63216749940518,68.94854660875376
DF,67.34198671451477,68.13379507475814,68.23283432299071,69.51168548825412,69.38484504687406,69.54025884778376,69.64283828382838,68.85986632234544,68.35962738227502,68.6137234958141
ES,67.01509433962264,69.0637323943662,70.06895531222256,70.22224909310762,69.80908551068883,71.19232790331056,72.5010729613734,70.12175324675324,70.21508379888269,70.44633730834752
GO,67.64965741074649,68.00854408749146,69.11825657894737,68.75663865546218,68.77596354661097,69.87847929395791,69.48045579114381,69.47151188873934,69.90741019089133,69.38981718104974
MA,63.34241486068112,64.82487425697302,65.55667824439533,65.18792899408284,65.8738644304682,65.4487072560467,65.7461600646726,65.52795248078267,66.03759148369927,65.71099116781159
MG,66.76970983722576,67.49845991732188,68.16655253747241,68.2463476070529,68.18202996200989,68.76940948693127,68.62445853960396,68.91114132608175,68.18727111522301,69.01875078128255
MS,66.9847525520093,66.99079250246629,67.5834487534626,68.07359532992807,69.81089835191007,69.8471435923829,69.55572691754061,69.86204860769458,69.09879895561357,69.08497689620197
MT,67.07582582582583,67.2063752276867,67.88914924297043,68.72589553416444,69.40766550522648,68.95028589580686,69.04376784015224,69.0609360518999,69.0640221402214,70.19957043135851
PA,63.19710817078161,64.22242339832869,64.24052478134111,64.80275944811038,64.49312422744129,66.31733439111464,66.31438397734169,66.94394315362057,66.08629865386622,67.39569301666076
PB,72.30748299319728,65.60416666666667,67.14696356275303,67.03369803063457,68.2442396313364,68.18067919551599,68.66475972540046,68.6945885841364,69.59064775776159,68.70178335535006
PE,66.34096340083009,66.55899952130206,68.7190726317696,68.17798452308494,68.21251688428636,68.26510369702434,68.5149528881606,68.60671798460461,68.43270559778853,68.57956582354113
PI,63.83000997008973,64.71721778791334,64.77455777192323,65.09128474830955,65.80445451113627,66.6823495865412,66.08088235294117,67.4514157014157,66.78315018315018,67.81136153133683
PR,67.5074464714137,68.2720699995892,68.99453833913904,69.1238464679461,69.04223181257707,69.30870671705098,69.70006574113461,69.75872269147155,70.49881134594717,69.6980867193454
RJ,69.0701064022575,68.77728110599078,68.58021083133494,69.34337244351444,71.00789848760789,70.09406441626481,70.91235207960383,69.75850987860034,70.38044386915837,69.54837260062914
RN,66.81616217717301,67.92591362126245,68.54017995656221,68.63527054108216,69.04985023534446,68.90892857142858,69.33551673944687,69.1046042860174,68.59986489529385,69.62818428184282
RO,64.64983351831299,66.27592860588518,68.38302649303996,67.36014123185564,67.71157291293443,67.63623344074472,67.50247191011236,66.59563818376833,67.90790048013967,67.20879120879121
RR,65.63128930817611,66.70737155621742,66.32665330661322,66.4524886877828,67.3092841163311,67.9505530253741,67.23380726698262,65.73375394321766,65.70386988222097,68.03667481662592
RS,69.37450392807969,70.28879658796309,70.2461396441759,70.54930887157578,70.4843819670977,71.1304871875226,70.79815362083845,70.70408138131481,70.55169247251486,71.00040780816704
SC,68.46275018532246,69.36254701303245,70.09204786936584,69.72989405803777,70.05722863308003,69.84747409326425,69.92859392221698,69.93715752236942,70.40355076800319,70.62691269126913
SE,66.7922261484099,67.06850335070737,67.73679935012186,68.0028818443804,68.32310838445808,68.83029341792228,68.20345252774352,68.45846153846153,68.94250871080139,68.71061843640607
SP,69.05456796860243,69.19424789811038,69.60279248916707,70.2739740728022,70.57305077968813,71.02030824702182,70.84532507085893,70.86340687944377,70.40445926966292,70.76994655285115
TO,66.84126984126983,66.77024291497976,66.66606660666066,66.85781990521328,67.11838989739542,67.66903073286052,68.29083245521602,67.70257966616084,66.18725099601593,67.45727136431785
BR,66.83877278963618,67.30018451553387,67.91218531393332,67.74424077645439,68.43561427029341,68.55835370347782,68.91323262905925,68.64845308520948,69.05699467848015,68.71310030592727
