PESO,ALTURA
99,120
67,120
63,120
175,120
76,120
61,120
53,120
67,120
76,120
52,120
68,120
54,120
58,120
68,120
68,120
64,120
79,120
56,120
75,120
60,120
58,120
88,120
58,120
52,120
58,120
53,120
67,120
73,120
87,120
70,120
63,120
66,120
60,120
90,120
78,120
115,120
163,120
53,120
56,120
75,120
80,120
79,120
50,120
70,120
75,120
30,120
66,120
60,120
60,120
50,120
50,120
50,120
58,120
101,120
74,120
76,120
85,120
91,120
30,120
59,120
30,120
30,120
180,120
30,120
56,120
77,120
30,120
52,120
61,120
30,120
60,120
51,120
63,120
71,120
79,120
50,120
83,120
63,120
71,120
59,120
167,120
80,120
57,120
73,120
53,120
70,120
74,120
70,120
61,120
91,120
85,120
55,120
70,120
88,120
70,120
70,120
112,120
80,120
65,120
65,120
132,120
63,120
68,120
58,120
60,120
67,120
54,120
61,120
56,120
168,120
57,120
74,120
176,120
42,120
182,120
70,120
61,120
166,120
30,120
75,120
68,120
70,120
63,120
32,120
65,120
60,120
58,120
64,120
90,120
68,120
67,120
84,120
67,120
60,120
60,120
72,120
65,120
98,120
56,120
60,120
74,120
71,120
76,120
165,120
107,120
67,120
66,120
60,120
78,120
56,120
71,120
57,120
65,120
93,120
81,120
115,120
112,120
169,120
60,120
56,120
58,120
47,120
65,120
83,120
61,120
87,120
74,120
84,120
60,120
60,120
67,120
178,120
67,120
175,120
73,120
170,120
62,120
61,120
60,120
50,120
53,120
79,120
83,120
67,120
55,120
64,120
60,120
65,120
63,120
176,120
61,120
51,120
64,120
87,120
72,120
75,120
30,120
81,120
65,120
61,120
168,120
82,120
69,120
62,120
65,120
63,120
98,120
55,120
178,120
70,120
68,120
63,120
69,120
84,120
60,120
81,120
54,120
59,120
70,120
68,120
60,120
30,120
64,120
80,120
78,120
60,120
50,120
65,120
55,120
72,120
65,120
61,120
86,120
30,120
65,120
68,120
53,120
87,120
63,120
52,120
63,120
49,120
46,120
52,120
61,120
74,120
65,120
59,120
81,120
70,120
102,120
65,120
59,120
71,120
182,120
64,120
57,120
133,120
57,120
56,120
74,120
30,120
61,120
71,120
55,120
174,120
56,120
58,120
69,120
65,120
55,120
55,120
159,120
68,120
92,120
73,120
56,120
71,120
69,120
176,120
54,120
64,120
65,120
80,120
84,120
71,120
105,120
62,120
65,120
52,120
107,120
97,120
71,120
70,120
68,120
69,120
60,120
61,120
77,120
68,120
56,120
77,120
30,120
63,120
93,120
65,120
67,120
73,120
60,120
57,120
67,120
59,120
57,120
51,120
63,120
69,120
75,120
60,120
75,120
56,120
72,120
62,120
62,120
67,120
67,120
67,120
58,120
78,120
65,120
200,120
69,120
56,120
52,120
94,120
75,120
62,120
171,120
71,120
67,120
71,120
88,120
85,120
57,120
68,120
53,120
68,120
58,120
80,120
52,120
173,120
30,120
72,120
71,120
62,120
51,120
57,120
65,120
95,120
60,120
80,120
172,120
68,120
30,120
71,120
81,120
71,120
57,120
80,120
108,120
66,120
60,120
76,120
30,120
69,120
30,120
97,120
60,120
74,120
88,120
79,120
78,120
69,120
30,120
172,120
77,120
80,120
60,120
58,120
78,120
93,120
90,120
74,120
80,120
74,120
91,120
56,120
165,120
65,120
67,120
53,120
75,120
84,120
169,120
60,120
184,120
72,120
55,120
57,120
86,120
50,120
90,120
66,120
87,120
72,120
100,120
55,120
64,120
71,120
160,120
78,120
78,120
73,120
67,120
54,120
30,120
85,120
61,120
93,120
86,120
66,120
60,120
73,120
88,120
70,120
57,120
75,120
69,120
73,120
51,120
100,120
73,120
65,120
72,120
115,120
60,120
183,120
57,120
67,120
53,120
68,120
90,120
72,120
69,120
64,120
76,120
79,120
78,120
71,120
57,120
72,120
62,120
67,120
60,120
90,120
80,120
52,120
165,120
90,120
81,120
57,120
58,120
80,120
70,120
71,120
56,120
65,120
60,120
57,120
51,120
64,120
58,120
52,120
172,120
64,120
62,120
84,120
85,120
190,120
57,120
84,120
171,120
67,120
65,120
60,120
61,120
70,120
55,120
58,120
83,120
59,120
100,120
45,120
66,120
67,120
56,120
57,120
60,120
78,120
78,120
176,120
168,120
67,120
60,120
61,120
176,120
179,120
80,120
174,120
59,120
62,120
68,120
65,120
63,120
78,120
70,120
70,120
73,120
60,120
73,120
65,120
168,121
57,121
59,121
71,121
177,121
80,121
176,121
174,121
63,121
63,121
176,121
96,121
70,121
68,121
185,121
182,121
172,121
75,121
80,121
65,123
110,124
50,124
65,125
51,125
52,128
73,128
84,128
91,129
69,129
85,129
70,130
65,130
62,130
182,130
97,130
89,130
70,130
57,130
70,130
185,130
76,131
76,132
42,132
64,133
92,136
61,136
72,137
62,137
67,137
173,138
80,138
95,140
190,140
110,140
160,140
164,140
65,140
170,140
60,140
66,140
60,140
51,140
70,140
69,140
69,140
66,140
176,140
65,140
63,140
165,140
183,140
74,140
94,140
182,140
100,140
68,140
73,140
88,140
63,141
57,141
40,141
68,142
63,142
52,142
58,142
62,143
59,144
193,144
64,144
77,145
60,145
77,145
39,145
46,145
50,146
73,146
54,146
61,147
66,147
70,147
41,147
69,147
68,147
69,148
43,148
63,148
44,149
51,149
55,149
39,149
40,149
49,149
68,150
66,150
63,150
51,150
62,150
46,150
53,150
51,150
48,150
165,150
64,150
60,150
52,150
41,150
92,150
78,150
71,150
60,150
64,150
66,150
48,150
43,150
50,150
50,150
67,150
59,150
70,150
60,150
55,150
42,150
39,150
95,150
54,150
175,150
50,150
75,150
55,150
40,150
62,150
64,150
62,150
55,150
53,150
43,150
54,150
52,150
53,150
61,150
80,150
60,150
48,150
47,150
52,150
48,150
65,150
166,150
45,150
80,150
54,150
63,151
60,151
55,151
48,151
61,151
58,151
46,151
61,151
64,151
49,151
54,151
78,151
51,151
72,151
51,151
51,151
55,151
48,151
52,151
49,151
50,151
56,151
45,151
50,151
47,151
38,151
46,151
51,151
51,151
57,151
49,152
50,152
65,152
59,152
53,152
60,152
58,152
50,152
70,152
58,152
50,152
64,152
61,152
60,152
52,152
61,152
45,152
70,152
45,152
50,152
54,152
52,152
80,152
67,152
50,152
47,152
75,152
88,152
57,152
60,152
53,152
59,152
80,152
53,152
56,152
48,152
50,152
88,152
52,152
43,152
41,152
48,152
54,152
52,152
50,152
54,152
67,152
78,153
58,153
50,153
47,153
49,153
61,153
52,153
53,153
101,153
56,153
61,153
51,153
50,153
55,153
48,153
64,153
41,153
50,153
53,153
54,153
66,153
60,153
78,153
48,153
50,153
46,153
50,153
51,153
84,153
50,153
58,153
58,153
57,153
56,153
53,153
61,153
46,153
55,153
52,153
72,153
46,153
94,153
52,153
50,153
81,153
75,153
52,153
49,153
77,153
57,154
45,154
79,154
44,154
53,154
48,154
51,154
81,154
57,154
78,154
60,154
42,154
68,154
65,154
50,154
60,154
47,154
65,154
83,154
41,154
55,154
49,154
57,154
54,154
56,154
90,154
47,154
76,154
45,154
58,154
51,154
52,154
56,154
57,154
53,154
59,154
68,154
58,154
55,154
53,154
70,154
46,154
60,154
50,154
57,154
51,154
41,154
77,154
50,154
55,154
55,154
52,154
47,154
61,154
58,154
58,154
54,154
60,154
48,154
51,154
54,154
46,154
58,154
55,154
56,154
67,154
73,154
57,154
74,154
44,154
52,154
42,154
50,154
52,154
69,154
60,154
75,154
54,154
54,154
55,155
59,155
77,155
57,155
44,155
81,155
81,155
51,155
56,155
55,155
53,155
50,155
54,155
65,155
48,155
50,155
55,155
71,155
66,155
53,155
63,155
78,155
51,155
70,155
51,155
65,155
75,155
54,155
71,155
60,155
53,155
65,155
57,155
50,155
83,155
63,155
65,155
80,155
60,155
56,155
47,155
54,155
53,155
61,155
165,155
54,155
70,155
65,155
58,155
52,155
59,155
66,155
47,155
49,155
57,155
52,155
57,155
55,155
43,155
84,155
54,155
70,155
51,155
45,155
58,155
50,155
66,155
60,155
61,155
55,155
50,155
53,155
56,155
93,155
53,155
55,155
46,155
54,155
62,155
55,155
46,155
50,155
63,155
52,155
54,155
53,155
58,155
68,155
60,155
58,155
60,155
85,155
57,155
63,155
60,155
55,155
55,155
48,155
48,155
57,155
59,155
65,155
50,155
71,155
43,155
67,155
52,155
55,155
54,155
68,155
45,155
53,155
60,155
58,155
100,155
69,155
61,155
61,155
54,155
79,155
67,155
165,155
73,155
63,155
62,155
53,155
104,155
63,155
55,155
72,155
85,155
71,155
47,155
51,155
54,155
50,155
50,155
52,155
67,155
50,155
50,155
76,155
65,155
59,155
44,155
54,155
95,155
69,155
56,155
53,155
56,155
42,155
48,155
50,155
58,155
178,155
52,155
58,155
71,155
49,155
76,155
61,155
50,155
50,155
64,155
58,155
58,155
66,155
49,155
50,155
54,155
67,155
90,155
59,155
80,155
46,155
62,155
57,155
56,155
58,155
82,155
46,155
52,155
45,155
74,155
53,155
61,155
65,155
50,155
76,155
59,155
74,155
59,155
103,155
51,155
54,155
53,155
59,155
50,155
68,155
49,155
62,155
50,155
85,155
49,155
43,155
58,155
111,155
44,155
58,155
67,155
63,155
60,155
58,155
58,155
67,155
65,155
42,155
45,155
70,155
74,155
47,155
50,155
52,155
62,155
70,155
50,155
50,155
50,155
51,155
53,155
60,155
58,155
62,155
81,155
51,155
49,155
89,155
55,155
65,155
63,155
45,155
49,155
54,155
50,155
62,155
58,155
54,155
60,155
49,155
61,155
60,155
60,155
67,155
56,155
48,155
64,155
54,155
54,155
65,155
60,155
51,155
57,155
46,155
67,155
59,155
45,155
73,155
101,155
60,155
65,155
49,155
80,155
51,155
57,155
51,155
70,155
76,155
54,155
49,155
47,155
64,155
65,155
53,155
81,155
59,155
49,155
53,155
51,155
76,155
57,155
57,155
57,155
56,155
62,155
63,155
68,155
40,155
60,155
63,155
58,155
50,155
50,155
52,155
51,155
55,155
59,155
56,155
59,155
46,155
65,155
72,155
62,155
56,155
64,155
50,155
54,155
84,155
63,155
58,155
40,155
44,155
58,155
56,155
48,155
71,155
75,155
51,155
56,155
54,155
58,155
46,155
80,155
50,155
75,155
55,155
48,155
58,155
61,155
51,155
50,155
61,155
74,155
61,155
50,155
56,155
53,155
62,155
65,155
73,155
68,155
79,155
76,155
61,155
49,155
57,155
64,155
52,155
67,155
113,155
50,155
53,155
51,155
49,155
57,155
56,155
70,155
59,155
98,155
50,155
75,155
62,155
62,155
75,155
74,155
45,155
55,155
46,155
42,155
65,155
51,155
50,155
84,155
60,155
67,155
51,155
54,155
48,155
80,155
170,155
55,155
56,155
65,155
79,155
105,155
65,155
43,155
88,155
65,155
60,155
59,155
50,155
53,155
50,155
58,155
59,155
65,155
55,155
50,155
78,155
96,155
59,155
54,155
63,155
54,155
56,155
53,155
50,155
60,155
49,155
56,155
50,155
50,155
50,155
67,155
55,155
70,155
89,155
56,155
42,155
50,155
75,155
54,155
53,155
50,155
47,155
62,155
57,155
57,155
46,155
56,155
42,155
79,155
48,155
56,155
74,155
56,155
70,155
66,155
56,155
60,155
68,155
61,155
52,155
75,155
52,155
50,155
68,155
52,155
90,155
55,155
56,155
52,155
52,155
55,155
67,155
60,155
59,155
60,155
52,155
76,155
168,155
86,155
40,155
60,155
56,155
40,155
173,155
59,155
65,155
153,155
80,155
67,155
78,155
60,155
45,155
54,155
53,155
53,155
51,155
56,155
56,155
73,155
94,155
70,155
47,155
44,155
56,155
71,155
67,155
64,155
50,155
60,155
45,155
65,155
50,155
60,155
60,155
78,155
66,155
63,155
63,155
65,155
57,155
55,155
68,155
55,155
55,155
60,155
74,155
67,155
58,155
48,155
45,155
45,155
56,155
56,155
45,155
72,155
90,155
65,155
45,155
57,155
80,155
71,155
72,155
74,155
55,155
86,155
114,155
61,155
54,155
63,155
57,155
71,155
58,155
57,155
74,155
63,155
51,155
49,155
64,155
45,155
60,155
60,155
51,155
50,155
72,155
56,155
84,155
60,156
75,156
105,156
58,156
43,156
62,156
76,156
66,156
67,156
45,156
51,156
50,156
80,156
46,156
56,156
46,156
60,156
68,156
63,156
62,156
51,156
51,156
72,156
50,156
65,156
58,156
56,156
54,156
49,156
60,156
70,156
50,156
66,156
49,156
64,156
52,156
43,156
55,156
55,156
85,156
50,156
58,156
57,156
64,156
70,156
43,156
57,156
55,156
60,156
42,156
51,156
61,156
66,156
48,156
49,156
54,156
51,156
54,156
58,156
64,156
88,156
57,156
51,156
43,156
82,156
58,156
54,156
44,156
51,156
55,156
63,156
62,156
48,156
53,156
49,156
65,156
60,156
46,156
56,156
43,156
59,156
64,156
51,156
54,156
50,156
75,156
65,156
51,156
54,156
48,156
51,156
93,156
55,156
42,156
56,156
53,156
59,156
57,156
53,156
56,156
46,156
53,156
50,156
64,156
52,156
63,156
50,156
48,156
42,156
64,156
64,156
48,156
60,156
56,156
52,156
90,156
72,156
55,156
58,156
61,156
60,156
52,156
75,156
58,156
42,156
54,156
61,156
54,156
58,156
47,156
56,156
53,156
55,156
57,156
67,156
59,156
66,156
46,156
64,156
61,156
55,156
55,156
47,156
44,156
48,156
60,156
54,156
53,156
53,156
42,156
48,156
56,156
46,156
63,156
54,156
54,156
49,156
79,156
59,156
50,156
60,156
87,156
55,156
45,156
52,156
58,156
51,156
53,156
65,156
53,156
59,156
65,156
57,156
45,156
58,156
53,156
52,156
54,156
62,156
62,156
58,156
54,156
61,156
58,156
55,156
61,156
60,156
58,156
64,156
56,156
57,156
44,156
51,156
50,156
67,156
50,156
63,156
64,156
58,156
60,156
50,156
60,156
59,156
41,156
66,156
58,156
53,156
80,156
78,156
61,156
48,156
54,156
55,156
51,156
53,156
51,156
51,156
75,156
58,156
56,156
63,156
49,156
48,156
60,156
78,156
62,156
51,156
65,156
60,156
55,156
51,156
56,156
63,156
56,156
64,156
57,156
63,156
50,156
64,156
51,156
56,156
50,156
49,156
68,156
61,156
52,156
55,156
67,156
48,156
53,156
55,156
45,156
60,156
59,156
45,156
78,156
71,156
58,156
54,156
49,156
51,156
62,156
53,156
52,156
60,156
57,156
55,156
48,156
53,156
49,156
58,156
50,156
56,156
77,156
50,156
44,156
59,156
50,156
45,156
66,156
68,156
51,156
82,156
55,156
52,156
51,156
43,156
60,156
66,156
62,156
76,156
94,156
49,156
93,156
58,156
92,156
55,156
45,156
51,156
50,156
51,156
46,156
85,156
55,156
63,156
53,156
57,156
45,156
64,156
47,156
51,156
60,156
46,157
60,157
53,157
52,157
63,157
60,157
60,157
67,157
64,157
51,157
55,157
55,157
48,157
54,157
57,157
64,157
57,157
85,157
80,157
56,157
42,157
69,157
50,157
68,157
66,157
63,157
53,157
53,157
83,157
78,157
70,157
53,157
40,157
53,157
49,157
65,157
56,157
59,157
52,157
48,157
61,157
126,157
65,157
52,157
60,157
50,157
49,157
52,157
57,157
57,157
60,157
61,157
67,157
54,157
48,157
52,157
60,157
67,157
80,157
58,157
59,157
58,157
79,157
53,157
53,157
81,157
47,157
55,157
67,157
61,157
62,157
52,157
62,157
71,157
59,157
57,157
71,157
45,157
50,157
64,157
58,157
52,157
58,157
47,157
69,157
48,157
57,157
52,157
50,157
55,157
46,157
70,157
48,157
61,157
54,157
58,157
53,157
70,157
52,157
55,157
59,157
50,157
56,157
59,157
57,157
66,157
61,157
62,157
53,157
67,157
48,157
81,157
49,157
93,157
54,157
42,157
59,157
51,157
53,157
68,157
66,157
53,157
45,157
63,157
58,157
55,157
63,157
60,157
55,157
47,157
77,157
52,157
54,157
49,157
53,157
58,157
60,157
62,157
45,157
55,157
53,157
53,157
45,157
57,157
63,157
53,157
46,157
57,157
53,157
49,157
67,157
51,157
59,157
63,157
50,157
59,157
64,157
53,157
57,157
58,157
55,157
55,157
65,157
41,157
52,157
76,157
51,157
63,157
57,157
77,157
55,157
40,157
60,157
74,157
60,157
50,157
55,157
60,157
52,157
55,157
62,157
50,157
56,157
49,157
62,157
57,157
64,157
53,157
46,157
47,157
65,157
49,157
64,157
51,157
60,157
47,157
46,157
81,157
58,157
50,157
51,157
57,157
59,157
52,157
50,157
49,157
54,157
59,157
58,157
44,157
59,157
59,157
59,157
80,157
57,157
56,157
59,157
57,157
57,157
46,157
60,157
49,157
55,157
47,157
66,157
54,157
57,157
65,157
59,157
80,157
53,157
60,157
68,157
49,157
53,157
57,157
46,157
53,157
46,157
58,157
57,157
59,157
56,157
61,157
96,157
69,157
64,157
57,157
50,157
52,157
53,157
50,157
66,157
50,157
50,157
48,157
67,157
55,157
50,157
73,157
54,157
60,157
46,157
41,157
65,157
53,157
49,157
54,157
51,157
50,157
58,157
72,157
43,157
76,157
54,157
46,157
54,157
50,157
60,157
58,157
66,157
55,157
58,157
58,157
95,157
63,157
53,157
47,157
71,157
57,157
56,157
58,157
46,157
58,157
66,157
55,157
49,157
54,157
57,157
78,157
55,157
65,157
56,157
48,157
70,157
52,157
50,157
52,157
58,157
60,157
48,157
55,157
66,157
42,157
50,157
48,157
59,157
62,157
70,157
56,157
56,157
50,157
53,157
48,157
68,157
48,157
60,157
61,157
50,157
51,157
70,157
50,157
66,157
50,157
58,157
65,157
50,157
85,157
47,157
60,157
60,157
60,157
43,157
60,157
60,157
67,157
50,157
56,157
54,157
68,157
62,157
46,157
47,157
54,157
57,157
51,157
57,157
60,157
48,157
42,157
51,157
52,157
57,157
57,157
65,157
78,157
55,157
65,157
73,157
50,157
40,157
45,157
54,157
56,157
56,157
67,157
61,157
60,157
47,157
49,157
56,157
46,157
61,157
58,157
53,157
53,157
55,157
61,157
41,157
53,157
67,157
52,157
59,157
45,157
69,157
60,157
59,157
59,157
59,157
57,157
52,157
52,157
56,157
52,157
56,157
59,157
48,157
60,157
57,157
57,157
54,157
56,157
57,157
59,157
59,157
56,157
53,157
52,157
53,157
70,157
56,157
48,157
57,157
46,157
93,157
70,157
47,157
68,157
45,157
54,157
53,157
52,157
54,157
71,157
57,157
65,157
58,157
48,157
50,157
64,157
60,157
63,157
58,157
56,157
64,157
56,157
55,157
50,157
60,157
65,157
50,157
48,157
52,157
66,157
57,157
79,157
48,157
54,157
48,157
66,157
50,157
123,157
72,157
52,157
67,157
61,157
74,157
72,157
59,157
51,157
57,157
59,157
63,157
63,158
50,158
56,158
53,158
55,158
58,158
50,158
49,158
46,158
60,158
52,158
57,158
56,158
97,158
53,158
50,158
50,158
57,158
61,158
53,158
46,158
69,158
79,158
46,158
46,158
78,158
74,158
43,158
62,158
58,158
60,158
65,158
56,158
69,158
73,158
52,158
70,158
69,158
73,158
51,158
60,158
67,158
82,158
52,158
89,158
57,158
60,158
45,158
60,158
55,158
70,158
51,158
63,158
54,158
44,158
54,158
50,158
67,158
62,158
48,158
64,158
55,158
55,158
49,158
57,158
67,158
72,158
61,158
53,158
47,158
66,158
60,158
65,158
58,158
45,158
47,158
54,158
65,158
55,158
60,158
55,158
50,158
59,158
56,158
79,158
69,158
55,158
60,158
76,158
59,158
51,158
45,158
74,158
69,158
53,158
176,158
48,158
88,158
64,158
46,158
52,158
50,158
56,158
60,158
61,158
57,158
54,158
55,158
54,158
52,158
56,158
51,158
68,158
50,158
56,158
62,158
62,158
50,158
48,158
63,158
89,158
55,158
53,158
56,158
71,158
59,158
55,158
55,158
60,158
53,158
55,158
56,158
48,158
55,158
71,158
68,158
55,158
64,158
57,158
58,158
50,158
50,158
49,158
48,158
54,158
63,158
52,158
46,158
51,158
57,158
57,158
54,158
60,158
53,158
65,158
50,158
70,158
72,158
57,158
57,158
67,158
58,158
60,158
54,158
60,158
45,158
60,158
56,158
62,158
60,158
52,158
58,158
60,158
52,158
81,158
68,158
53,158
53,158
59,158
52,158
41,158
53,158
70,158
63,158
59,158
54,158
64,158
61,158
57,158
62,158
62,158
55,158
52,158
52,158
60,158
64,158
70,158
61,158
45,158
61,158
65,158
46,158
55,158
50,158
48,158
49,158
82,158
56,158
54,158
54,158
49,158
55,158
64,158
52,158
53,158
48,158
56,158
61,158
44,158
60,158
49,158
71,158
105,158
57,158
45,158
71,158
60,158
50,158
52,158
51,158
50,158
50,158
50,158
58,158
56,158
61,158
54,158
54,158
53,158
71,158
50,158
40,158
58,158
59,158
67,158
60,158
65,158
52,158
55,158
62,158
55,158
57,158
47,158
50,158
57,158
51,158
46,158
56,158
58,158
60,158
62,158
67,158
50,158
60,158
69,158
78,158
51,158
50,158
68,158
80,158
62,158
54,158
53,158
66,158
77,158
46,158
41,158
54,158
53,158
60,158
58,158
61,158
50,158
58,158
57,158
57,158
67,158
49,158
48,158
62,158
53,158
53,158
53,158
41,158
94,158
65,158
60,158
63,158
60,158
56,158
50,158
67,158
74,158
48,158
58,158
54,158
64,158
58,158
51,158
52,158
58,158
57,158
63,158
78,158
54,158
68,158
60,158
65,158
78,158
62,158
54,158
88,158
63,158
43,158
72,158
53,158
69,158
58,158
51,158
77,158
55,158
45,158
54,158
58,158
53,158
58,158
57,158
60,158
46,158
68,158
53,158
